PredicateSignature,count,mean_q_error,median_q_error,p95_q_error,max_q_error
t.kind_id:=|mi.info_type_id:=|mk.keyword_id:<,1,2.6322038441331213,2.6322038441331213,2.6322038441331213,2.6322038441331213
ci.person_id:>|ci.role_id:>|mk.keyword_id:=,2,2.624364398665584,2.624364398665584,4.036706996895735,4.1936339522546415
t.kind_id:=|t.production_year:<|ci.person_id:<|ci.role_id:=,3,2.613479301412649,1.1357668562801606,5.213576685628016,5.666666666666667
t.kind_id:=|t.production_year:<|ci.role_id:<,3,2.613100079386087,1.4244919334759432,4.921882345905554,5.310481280619956
mc.company_type_id:=|mk.keyword_id:=,2,2.6102025255606707,2.6102025255606707,3.989945872390778,4.143250688705234
t.kind_id:>|mi_idx.info_type_id:=|mk.keyword_id:=,1,2.5793991416309012,2.5793991416309012,2.5793991416309012,2.5793991416309012
mi_idx.info_type_id:>|mk.keyword_id:=,6,2.5664284194102334,3.0025510204081636,3.7889374090247454,4.0
mi_idx.info_type_id:>,2,2.5576923076923075,2.5576923076923075,2.806923076923077,2.8346153846153848
t.production_year:=|mc.company_id:>|mc.company_type_id:=|mi_idx.info_type_id:=,1,2.5560165975103732,2.5560165975103732,2.5560165975103732,2.5560165975103732
mc.company_id:=|mc.company_type_id:=|mk.keyword_id:<,2,2.5536932163669652,2.5536932163669652,3.1568618589501294,3.2238805970149254
t.kind_id:<|ci.person_id:=|ci.role_id:<,1,2.5454545454545454,2.5454545454545454,2.5454545454545454,2.5454545454545454
t.kind_id:<|mi.info_type_id:<|mk.keyword_id:=,1,2.5388271629697967,2.5388271629697967,2.5388271629697967,2.5388271629697967
t.production_year:=|mc.company_id:>|mc.company_type_id:=|mi.info_type_id:>,1,2.532524098536237,2.532524098536237,2.532524098536237,2.532524098536237
t.production_year:=|ci.person_id:=|ci.role_id:>|mi.info_type_id:=,1,2.5,2.5,2.5,2.5
t.kind_id:=|t.production_year:>|ci.role_id:>|mk.keyword_id:>,1,2.498262471739706,2.498262471739706,2.498262471739706,2.498262471739706
t.kind_id:>|t.production_year:>|mi.info_type_id:=|mi_idx.info_type_id:=,1,2.4834585344012736,2.4834585344012736,2.4834585344012736,2.4834585344012736
t.kind_id:<|t.production_year:=|mc.company_type_id:<|ci.person_id:>|ci.role_id:=,1,2.4721467534382175,2.4721467534382175,2.4721467534382175,2.4721467534382175
t.kind_id:>|mi.info_type_id:>|mi_idx.info_type_id:>,1,2.4599054097141035,2.4599054097141035,2.4599054097141035,2.4599054097141035
t.kind_id:<|t.production_year:<|ci.person_id:=,2,2.4583333333333335,2.4583333333333335,3.620833333333333,3.75
t.production_year:>|ci.person_id:=|mi_idx.info_type_id:=,1,2.4545454545454546,2.4545454545454546,2.4545454545454546,2.4545454545454546
mi_idx.info_type_id:<|mk.keyword_id:=,1,2.435185185185185,2.435185185185185,2.435185185185185,2.435185185185185
t.kind_id:>|t.production_year:>|ci.person_id:>|mk.keyword_id:<,1,2.4178608550445584,2.4178608550445584,2.4178608550445584,2.4178608550445584
t.kind_id:=|t.production_year:<|ci.person_id:<|ci.role_id:=|mi.info_type_id:>,1,2.415480439154378,2.415480439154378,2.415480439154378,2.415480439154378
t.kind_id:=|t.production_year:=|mc.company_id:<|mc.company_type_id:=|mi.info_type_id:>,1,2.388235294117647,2.388235294117647,2.388235294117647,2.388235294117647
t.kind_id:>|t.production_year:>|ci.person_id:<|ci.role_id:>|mi.info_type_id:=,1,2.378443343823954,2.378443343823954,2.378443343823954,2.378443343823954
mc.company_id:>|mk.keyword_id:=,2,2.373366881226615,2.373366881226615,2.500973051759025,2.515151515151515
t.kind_id:>|t.production_year:>|mc.company_id:=,1,2.358609794628752,2.358609794628752,2.358609794628752,2.358609794628752
mc.company_id:=|ci.role_id:<,1,2.3544303797468356,2.3544303797468356,2.3544303797468356,2.3544303797468356
t.production_year:=|mk.keyword_id:=,11,2.312577260726082,1.8888888888888888,4.863636363636363,7.0
t.production_year:=|mi.info_type_id:>|mk.keyword_id:>,1,2.2587889863547757,2.2587889863547757,2.2587889863547757,2.2587889863547757
t.kind_id:=|t.production_year:=|mc.company_id:<|mc.company_type_id:>,1,2.258227848101266,2.258227848101266,2.258227848101266,2.258227848101266
t.production_year:<|mc.company_id:>|mk.keyword_id:>,1,2.248604494978681,2.248604494978681,2.248604494978681,2.248604494978681
t.kind_id:>|t.production_year:>|ci.person_id:<|mk.keyword_id:>,1,2.2480036440135875,2.2480036440135875,2.2480036440135875,2.2480036440135875
t.kind_id:<|t.production_year:=|mi.info_type_id:=|mk.keyword_id:=,1,2.230769230769231,2.230769230769231,2.230769230769231,2.230769230769231
