trial_id,selected_candidate,mean_q_error,median_q_error,p90_q_error,p95_q_error,max_q_error,public_rows,main_eta,main_max_depth,main_min_child_weight,main_subsample,main_colsample_bytree,main_lambda,main_alpha,main_num_boost_round,low_eta,low_max_depth,low_min_child_weight,low_subsample,low_colsample_bytree,low_lambda,low_alpha,low_num_boost_round,residual_eta,residual_max_depth,residual_min_child_weight,residual_subsample,residual_colsample_bytree,residual_lambda,residual_alpha,residual_num_boost_round,blend_low_expert_weight_percent,main_tuned_best_iteration,selected_main_config,selected_blend_low_expert_weight,selected_blend_other_weight
48,blend_low_030,2.600831673867656,1.1360640048642372,3.3939052977027715,7.055109884961309,1072.348,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,30,3199.0,main_tuned,0.3,0.7
70,blend_low_030,2.6018002992161424,1.1357667073226203,3.4099268617021297,7.0651280403548204,1072.344,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,30,3199.0,main_tuned,0.3,0.7
45,residual,2.6054741662169776,1.1343972697414708,3.26182705538356,6.669918699187004,1013.072,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,0,3199.0,main_tuned,,
49,residual,2.6054741662169776,1.1343972697414708,3.26182705538356,6.669918699187004,1013.072,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,40,3199.0,main_tuned,,
50,residual,2.6054741662169776,1.1343972697414708,3.26182705538356,6.669918699187004,1013.072,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,50,3199.0,main_tuned,,
51,residual,2.6054741662169776,1.1343972697414708,3.26182705538356,6.669918699187004,1013.072,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,60,3199.0,main_tuned,,
52,residual,2.6054741662169776,1.1343972697414708,3.26182705538356,6.669918699187004,1013.072,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,70,3199.0,main_tuned,,
53,residual,2.6054741662169776,1.1343972697414708,3.26182705538356,6.669918699187004,1013.072,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,80,3199.0,main_tuned,,
54,residual,2.6054741662169776,1.1343972697414708,3.26182705538356,6.669918699187004,1013.072,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,90,3199.0,main_tuned,,
55,residual,2.6054741662169776,1.1343972697414708,3.26182705538356,6.669918699187004,1013.072,5000,0.03,7,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,100,3199.0,main_tuned,,
